player,card_kind,card_name,flavor_name,set_code,collector_number,uuid,rarity,published_image,picture_url,sha256,dimensions
Alex,official,Angel of Vitality,"Alex, Divine Priest",WLX,001,f6a9cc3e-beac-5fac-84aa-ca36b34d7d10,rare,images/WLX/001-680c22b71393.png,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/001-680c22b71393.png,680c22b71393004d0c10d1ade8eead9bc26b9cb26fb3891bde5498fdd8749384,1462x2048
Alex,official,Wedding Ring,,WLX,002,b7ed3e04-2245-5304-a933-8ce3975f0a58,special,images/WLX/002-469c6a028a1c.png,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/002-469c6a028a1c.png,469c6a028a1cbb8451d3c2356e3c0669431d890236459f1b93ef143dd4163cfb,2976x4152
Will,official,Ghoulcaller Gisa,,WLX,006,ed2476c2-c159-59e3-8153-d96a2bcae779,special,images/WLX/006-81d112c3d27f.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/006-81d112c3d27f.jpg,81d112c3d27f22bb4f431e6bb159b5279e039c8132bf90006f4f096ead390d0d,2976x4152
Will,official_double_faced,"Extus, Oriq Overlord",,WLX,007,aa42d7ed-2f5c-521b-bd3a-84a39a40bd38,special,images/WLX/007-front-4a0dd4296ced.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/007-front-4a0dd4296ced.jpg,4a0dd4296cedda373c7128ec18b6df4d59783c9a6e20bf4554612745363dc309,2976x4152
Will,official_double_faced,Awaken the Blood Avatar,,WLX,007,aa42d7ed-2f5c-521b-bd3a-84a39a40bd38,special,images/WLX/007-back-e364cd8a9c87.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/007-back-e364cd8a9c87.jpg,e364cd8a9c87e9985c469c861dc8dce018b455ba4461f341baa8b82acccd2703,2976x4152
Will,official_double_faced,Invasion of Tolvada,,WLX,008,2e847228-b8a4-5e0c-b14c-bc6699af72b9,special,images/WLX/008-front-58d4748f8013.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/008-front-58d4748f8013.jpg,58d4748f8013f7ed6963fbaa01dda5ee09c7321e3ca343719f96e706898335b2,2976x4152
Will,official_double_faced,The Broken Sky,,WLX,008,2e847228-b8a4-5e0c-b14c-bc6699af72b9,special,images/WLX/008-back-b83eb7b6cd87.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/008-back-b83eb7b6cd87.jpg,b83eb7b6cd87920f3a13269f2ea2a61aa8726a816bb237642e7d9047613a2ed9,2976x4152
Will,official,"Armaggon, Future Shark",,WLX,010,0284d1b8-7535-5b6e-9898-ff2da5a9bd83,special,images/WLX/010-c7a5fe7fdcda.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/010-c7a5fe7fdcda.jpg,c7a5fe7fdcda0910df1cc4ef878e285fea8e8dea551f7232ed7812ef05813bc7,2976x4152
Will,official,Breach the Multiverse,,WLX,011,851a2ffc-3165-5aae-a2f5-15f25ad75846,special,images/WLX/011-ce50a2b789b3.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/011-ce50a2b789b3.jpg,ce50a2b789b3293e5e59822c2e1be797cc121d38a53ce56e4ac8f8153a1441ff,2976x4152
Alex,official,Eriette of the Charmed Apple,,WLX,013,e01bf7bf-20c5-550f-a790-9c142c3c75d3,special,images/WLX/013-0bb9d9507937.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/013-0bb9d9507937.jpg,0bb9d9507937143f05bfc2d4d65b7748e3c3b835be0857e1521ae6a7a8daa7d5,2976x4152
Will,official,"Animar, Soul of Elements",,WLX,014,cd3b0d09-97da-58f5-be31-cc16e24cc2b9,special,images/WLX/014-65d4d2606b90.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/014-65d4d2606b90.jpg,65d4d2606b903a20954737c38fc69a1d2ee9c85f48b2ae10b3f2e559f75b529d,2976x4152
Will,official,Animate Dead,,WLX,015,e1a30784-a860-599e-9de3-c93187f601eb,special,images/WLX/015-831e1fa90e33.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/015-831e1fa90e33.jpg,831e1fa90e33801b03fba918da009a432e7c8385a70868175bb3bfe7e2286d71,2976x4152
Will,official,Annie Joins Up,,WLX,016,588bd25c-b252-5129-9826-b7c95f21ab74,special,images/WLX/016-d010bcdf6103.jpg,https://raw.githubusercontent.com/seventyfourpandas-cyber/Faithful-Cockatrice-Pod-Arts/main/WLX/published/images/WLX/016-d010bcdf6103.jpg,d010bcdf6103005f3bcbb167171dbb493040214141e8d5f1fcf6cbc4bc87f006,2976x4152
