current_collector,card_name,current_owner,CHANGE_owner_to,CHANGE_collector_to,current_front_art,CHANGE_front_art_to,current_back_art,CHANGE_back_art_to,art_upload_folder,current_rarity,CHANGE_rarity_to,current_front_title,CHANGE_front_title_to,current_back_title,CHANGE_back_title_to,card_kind,printing_uuid,notes
WLX-001,Angel of Vitality,Alex,,,WLX-001.png,,,,imports/replacements/alex/,rare,,"Alex, Divine Priest",,,,official,f6a9cc3e-beac-5fac-84aa-ca36b34d7d10,Original verified WLX printing; UUID preserved from the working v1 release
WLX-002,Wedding Ring,Alex,,,WLX-002.png,,,,imports/replacements/alex/,special,,,,,,official,b7ed3e04-2245-5304-a933-8ce3975f0a58,Submitted by @seventyfourpandas-cyber through issue #1
WLX-006,Ghoulcaller Gisa,Will,,,WLX-006.jpg,,,,imports/replacements/will/,special,,,,,,official,ed2476c2-c159-59e3-8153-d96a2bcae779,Submitted by @WillPower-exe through issue #9
WLX-007,"Extus, Oriq Overlord // Awaken the Blood Avatar",Will,,,WLX-007-front.jpg,,WLX-007-back.jpg,,imports/replacements/will/,special,,,,,,official_double_faced,aa42d7ed-2f5c-521b-bd3a-84a39a40bd38,Submitted by @WillPower-exe through issue #10
WLX-008,Invasion of Tolvada // The Broken Sky,Will,,,WLX-008-front.jpg,,WLX-008-back.jpg,,imports/replacements/will/,special,,,,,,official_double_faced,2e847228-b8a4-5e0c-b14c-bc6699af72b9,Submitted by @WillPower-exe through issue #11
WLX-010,"Armaggon, Future Shark",Will,,,WLX-010.jpg,,,,imports/replacements/will/,special,,,,,,official,0284d1b8-7535-5b6e-9898-ff2da5a9bd83,Submitted by @WillPower-exe through issue #17
WLX-011,Breach the Multiverse,Will,,,WLX-011.jpg,,,,imports/replacements/will/,special,,,,,,official,851a2ffc-3165-5aae-a2f5-15f25ad75846,Submitted by @WillPower-exe through issue #21
WLX-013,Eriette of the Charmed Apple,Alex,,,WLX-013.jpg,,,,imports/replacements/alex/,special,,,,,,official,e01bf7bf-20c5-550f-a790-9c142c3c75d3,Submitted by @WillPower-exe through issue #28
WLX-014,"Animar, Soul of Elements",Will,,,WLX-014.jpg,,,,imports/replacements/will/,special,,,,,,official,cd3b0d09-97da-58f5-be31-cc16e24cc2b9,"Imported from will/Animar, Soul of Elements.jpg in file batch e88865535d"
WLX-015,Animate Dead,Will,,,WLX-015.jpg,,,,imports/replacements/will/,special,,,,,,official,e1a30784-a860-599e-9de3-c93187f601eb,Imported from will/Animate Dead.jpg in file batch e88865535d
WLX-016,Annie Joins Up,Will,,,WLX-016.jpg,,,,imports/replacements/will/,special,,,,,,official,588bd25c-b252-5129-9826-b7c95f21ab74,Imported from will/Annie Joins Up.jpg in file batch e88865535d
WLX-017,Apex Altisaur,Will,,,WLX-017.jpg,,,,imports/replacements/will/,special,,,,,,official,2d3b8ce8-64d6-51f4-8b58-89423368101f,Imported from will/Apex Altisaur.jpg in file batch e88865535d
WLX-018,Archfiend of Despair,Will,,,WLX-018.jpg,,,,imports/replacements/will/,special,,,,,,official,b1bb9fd4-1b93-53a0-ac4b-69adff6e4ec2,Imported from will/Archfiend of Despair.jpg in file batch e88865535d
WLX-019,Aura Shards,Will,,,WLX-019.jpg,,,,imports/replacements/will/,special,,,,,,official,5b3ae90a-7589-5031-873b-9cbb0050bf0e,Imported from will/Aura Shards.jpg in file batch e88865535d
WLX-020,Avatar's Wrath,Will,,,WLX-020.jpg,,,,imports/replacements/will/,special,,,,,,official,5d7c2ba4-4cdf-58c5-874f-b1127413b18b,Imported from will/Avatar's Wrath.jpg in file batch e88865535d
WLX-021,Avenger of Zendikar,Will,,,WLX-021.jpg,,,,imports/replacements/will/,special,,,,,,official,ec271222-ee5e-5f8b-ba3b-78fe0d06de0e,Imported from will/Avenger of Zendikar.jpg in file batch e88865535d
WLX-022,Barbflare Gremlin,Will,,,WLX-022.jpg,,,,imports/replacements/will/,special,,,,,,official,6ff1130e-f69f-538c-9976-7f8247ecb1af,Imported from will/Barbflare Gremlin.jpg in file batch e88865535d
WLX-023,Bastion of Remembrance,Will,,,WLX-023.jpg,,,,imports/replacements/will/,special,,,,,,official,a0e73ad7-e7c0-598a-8677-ef4ff46ffaa8,Imported from will/Bastion of Remembrance.jpg in file batch e88865535d
WLX-024,Blood Pact,Will,,,WLX-024.jpg,,,,imports/replacements/will/,special,,,,,,official,b642868e-32a6-546c-bb30-fff43280e472,Imported from will/Blood Pact.jpg in file batch e88865535d
WLX-025,Bog Witch,Will,,,WLX-025.jpg,,,,imports/replacements/will/,special,,,,,,official,fc7c0b6b-1d88-5359-a419-8068b8b92800,Imported from will/Bog Witch.jpg in file batch e88865535d
WLX-026,Bone Shards,Will,,,WLX-026.jpg,,,,imports/replacements/will/,special,,,,,,official,753c5f8c-3744-52fa-a3f5-307905377eb4,Imported from will/Bone Shards.jpg in file batch e88865535d
WLX-027,Bonehoard Dracosaur,Will,,,WLX-027.jpg,,,,imports/replacements/will/,special,,,,,,official,66e2a218-bb70-5306-8970-7ed1dd74feeb,Imported from will/Bonehoard Dracosaur.jpg in file batch e88865535d
WLX-028,Brighthearth Banneret,Will,,,WLX-028.jpg,,,,imports/replacements/will/,special,,,,,,official,46dc17a2-6135-5019-9666-4d6336f1fff1,Imported from will/Brighthearth Banneret.jpg in file batch e88865535d
WLX-029,Cavalier of Gales,Will,,,WLX-029.jpg,,,,imports/replacements/will/,special,,,,,,official,76eb831f-abdd-5c4b-9cde-3ffe09f67775,Imported from will/Cavalier of Gales.jpg in file batch e88865535d
WLX-030,Cavalier of Thorns,Will,,,WLX-030.jpg,,,,imports/replacements/will/,special,,,,,,official,451ac372-ef90-5c39-ab1e-b2ff03fb5fc1,Imported from will/Cavalier of Thorns.jpg in file batch e88865535d
WLX-031,Champion of the Path,Will,,,WLX-031.jpg,,,,imports/replacements/will/,special,,,,,,official,0335069f-1e3e-5841-95e3-91f82cbc2d24,Imported from will/Champion of the Path.jpg in file batch e88865535d
WLX-032,Chaos Warp,Will,,,WLX-032.jpg,,,,imports/replacements/will/,special,,,,,,official,b95e58ad-77c6-5081-8769-051f99ccdcdb,Imported from will/Chaos Warp.jpg in file batch e88865535d
WLX-033,Codex Shredder,Will,,,WLX-033.jpg,,,,imports/replacements/will/,special,,,,,,official,000a7fbe-f6f0-5c67-9691-b09ac86b7ab2,Imported from will/Codex Shredder.jpg in file batch e88865535d
WLX-034,Colossus of Akros,Will,,,WLX-034.jpg,,,,imports/replacements/will/,special,,,,,,official,2017aa0c-a126-5e0a-9d59-171556e45c25,Imported from will/Colossus of Akros.jpg in file batch e88865535d
WLX-035,Corpses of the Lost,Will,,,WLX-035.jpg,,,,imports/replacements/will/,special,,,,,,official,2ab69787-322a-5f00-a975-7586abae86dd,Imported from will/Corpses of the Lost.jpg in file batch e88865535d
WLX-036,Cream of the Crop,Will,,,WLX-036.jpg,,,,imports/replacements/will/,special,,,,,,official,b655d0c8-8752-5e69-9f86-8d9cdcb9e7e9,Imported from will/Cream of the Crop.jpg in file batch e88865535d
WLX-037,Disciple of Bolas,Will,,,WLX-037.jpg,,,,imports/replacements/will/,special,,,,,,official,4d772581-260c-5b6f-8f6e-d8210fbfda7e,Imported from will/Disciple of Bolas.jpg in file batch e88865535d
WLX-038,"Doc Aurlock, Grizzled Genius",Will,,,WLX-038.png,,,,imports/replacements/will/,special,,,,,,official,978b4871-2f10-5d95-acee-98eec41b8980,"Imported from will/Doc Aurlock, Grizzled Genius.png in file batch e88865535d"
WLX-039,Eerie Interlude,Will,,,WLX-039.jpg,,,,imports/replacements/will/,special,,,,,,official,7f148816-bf2a-5e6c-86e6-e00b4a6bba7e,Imported from will/Eerie Interlude.jpg in file batch e88865535d
WLX-040,Eladamri's Call,Will,,,WLX-040.jpg,,,,imports/replacements/will/,special,,,,,,official,bc297dc0-1071-51dc-8212-3df2a776ee32,Imported from will/Eladamri's Call.jpg in file batch e88865535d
WLX-041,Elemental Bond,Will,,,WLX-041.jpg,,,,imports/replacements/will/,special,,,,,,official,ea387e1c-9582-58f2-a700-b4622437107b,Imported from will/Elemental Bond.jpg in file batch e88865535d
WLX-042,Esper Sentinel,Will,,,WLX-042.jpg,,,,imports/replacements/will/,special,,,,,,official,092c2575-f71d-5c32-ba19-c1de6a9c855f,Imported from will/Esper Sentinel.jpg in file batch e88865535d
WLX-043,Everybody Lives!,Will,,,WLX-043.jpg,,,,imports/replacements/will/,special,,,,,,official,6677cab8-a8e9-5681-8cf8-661871813610,Imported from will/Everybody Lives!.jpg in file batch e88865535d
WLX-044,Faeburrow Elder,Will,,,WLX-044.jpg,,,,imports/replacements/will/,special,,,,,,official,14f7f6f3-5a7a-5299-9401-91351aab55f5,Imported from will/Faeburrow Elder.jpg in file batch e88865535d
WLX-045,Fanatic of Rhonas,Will,,,WLX-045.jpg,,,,imports/replacements/will/,special,,,,,,official,1701259c-f284-549b-82be-28173e805087,Imported from will/Fanatic of Rhonas.jpg in file batch e88865535d
WLX-046,Far Traveler,Will,,,WLX-046.jpg,,,,imports/replacements/will/,special,,,,,,official,5b696be6-269d-58da-af6c-8c25a721ddaf,Imported from will/Far Traveler.jpg in file batch e88865535d
WLX-047,Fate Unraveler,Will,,,WLX-047.jpg,,,,imports/replacements/will/,special,,,,,,official,b8daceae-a60b-5a42-a9de-82e10f843f72,Imported from will/Fate Unraveler.jpg in file batch e88865535d
WLX-048,Fellwar Stone,Will,,,WLX-048.jpg,,,,imports/replacements/will/,special,,,,,,official,144cc22a-c717-5a8e-adf6-c5d3840fab62,Imported from will/Fellwar Stone.jpg in file batch e88865535d
WLX-049,Flamebraider,Will,,,WLX-049.jpg,,,,imports/replacements/will/,special,,,,,,official,616bc982-15b9-53c2-a282-d6f707614aa2,Imported from will/Flamebraider.jpg in file batch e88865535d
WLX-050,Flamekin Harbinger,Will,,,WLX-050.jpg,,,,imports/replacements/will/,special,,,,,,official,2070fbf2-49d6-5195-8a31-b13801fb88bf,Imported from will/Flamekin Harbinger.jpg in file batch e88865535d
WLX-051,Fog,Will,,,WLX-051.jpg,,,,imports/replacements/will/,special,,,,,,official,a583faa6-1a11-5b52-a4fe-99be1b4bb081,Imported from will/Fog.jpg in file batch e88865535d
WLX-052,Forerunner of the Empire,Will,,,WLX-052.jpg,,,,imports/replacements/will/,special,,,,,,official,e97dae0c-ca31-5f03-8daf-d6bd6db09af1,Imported from will/Forerunner of the Empire.jpg in file batch e88865535d
WLX-053,Foundation Breaker,Will,,,WLX-053.jpg,,,,imports/replacements/will/,special,,,,,,official,6280c507-c9df-5a1f-8d5b-9aba3218d059,Imported from will/Foundation Breaker.jpg in file batch e88865535d
WLX-054,Fury Storm,Will,,,WLX-054.jpg,,,,imports/replacements/will/,special,,,,,,official,43ae2ed9-3c33-51b4-ade2-5e4e8325bed0,Imported from will/Fury Storm.jpg in file batch e88865535d
WLX-055,"Garnet, Princess of Alexandria",Will,,,WLX-055.jpg,,,,imports/replacements/will/,special,,,,,,official,7070b163-d2ee-5dac-8eed-f9956a69ef0a,"Imported from will/Garnet, Princess of Alexandria.jpg in file batch e88865535d"
WLX-056,Ghostfire Slice,Will,,,WLX-056.jpg,,,,imports/replacements/will/,special,,,,,,official,9c6ab1e3-ba45-5fc2-b73c-9cb63b24fe4f,Imported from will/Ghostfire Slice.jpg in file batch e88865535d
WLX-057,"Ghyrson Starn, Kelermorph",Will,,,WLX-057.jpg,,,,imports/replacements/will/,special,,,,,,official,c4e7832a-1859-5ee9-a17b-639fea1fb08c,"Imported from will/Ghyrson Starn, Kelermorph.jpg in file batch e88865535d"
WLX-058,Gleeful Arsonist,Will,,,WLX-058.jpg,,,,imports/replacements/will/,special,,,,,,official,614cc94a-c024-5782-974b-bb09dc1cb17c,Imported from will/Gleeful Arsonist.jpg in file batch e88865535d
WLX-059,Grave Sifter,Will,,,WLX-059.jpg,,,,imports/replacements/will/,special,,,,,,official,dea95354-aa40-5c12-a3e6-58b08b5413f7,Imported from will/Grave Sifter.jpg in file batch e88865535d
WLX-060,Greenwarden of Murasa,Will,,,WLX-060.jpg,,,,imports/replacements/will/,special,,,,,,official,3526a2e2-a5a9-5dba-b6a3-2c06865e6fa2,Imported from will/Greenwarden of Murasa.jpg in file batch e88865535d
